No, Action ,ID Position, Nama Jabatan , Kode Kompetensi ,Proficiency Level,"Start Date
(DDMMYYYY)                                                                                                                                                                                             ","End Date
(DDMMYYYY)  ", Kompetensi Teknis ,Keterangan Kompetensi
1,,30313889,Manager Channel Digitalization Operation, Q  41003926 ,2,,, HSSE General , Mandatory 
2,,30313889,Manager Channel Digitalization Operation, Q  41003951 ,2,,, HC Integrated , Mandatory 
3,,30313889,Manager Channel Digitalization Operation, Q  41003952 ,2,,, Strategic & Business Management , Mandatory 
4,,30313889,Manager Channel Digitalization Operation, Q  41003953 ,2,,, Risk Fundamental , Mandatory 
5,,30313889,Manager Channel Digitalization Operation, Q  41003954 ,2,,, Digital & Analytic Insight , Mandatory 
6,,30313889,Manager Channel Digitalization Operation, Q  41003819 ,2,,, Marketing Strategy and Planning ,General
7,,30313889,Manager Channel Digitalization Operation, Q  41003825 ,2,,, Customer Relation Management ,General
8,,30313889,Manager Channel Digitalization Operation, Q  41003829 ,2,,, Sales Strategy and Planning ,General
9,,30313889,Manager Channel Digitalization Operation, Q  41003448 ,2,,, Stakeholder Management ,Specific
10,,30313889,Manager Channel Digitalization Operation, Q  41003824 ,3,,, Channel Management ,Specific
11,,30313889,Manager Channel Digitalization Operation, Q  41003695 ,3,,, Data Analytics ,Specific
12,,30313889,Manager Channel Digitalization Operation, Q  41003667 ,3,,, Data Engineering ,Specific
13,,30313889,Manager Channel Digitalization Operation, Q  41003706 ,3,,, Budgeting ,Specific
14,,30313889,Manager Channel Digitalization Operation, Q  41003474 ,3,,, Sourcing Procurement ,Specific
15,,30313889,Manager Channel Digitalization Operation, Q  41003494 ,3,,, Standardization Management System ,Specific
16,,30313889,Manager Channel Digitalization Operation, Q  41003670 ,2,,, ICT Business Need Analysis ,Specific
1,,30313894,Sr Officer I Digital Operation, Q  41003926 ,2,,, HSSE General , Mandatory 
2,,30313894,Sr Officer I Digital Operation, Q  41003953 ,2,,, Risk Fundamental , Mandatory 
3,,30313894,Sr Officer I Digital Operation, Q  41003819 ,2,,, Marketing Strategy and Planning ,General
4,,30313894,Sr Officer I Digital Operation, Q  41003825 ,2,,, Customer Relation Management ,General
5,,30313894,Sr Officer I Digital Operation, Q  41003829 ,2,,, Sales Strategy and Planning ,General
6,,30313894,Sr Officer I Digital Operation, Q  41003824 ,3,,, Channel Management ,Specific
7,,30313894,Sr Officer I Digital Operation, Q  41003695 ,3,,, Data Analytics ,Specific
8,,30313894,Sr Officer I Digital Operation, Q  41003484 ,2,,, Compliance Regulatory ,Specific
9,,30313894,Sr Officer I Digital Operation, Q  41003448 ,1,,, Stakeholder Management ,Specific
10,,30313894,Sr Officer I Digital Operation, Q  41003670 ,2,,, ICT Business Need Analysis ,Specific
11,,30313894,Sr Officer I Digital Operation, Q  41003667 ,3,,, Data Engineering ,Specific
12,,30313894,Sr Officer I Digital Operation, Q  41003474 ,2,,, Sourcing Procurement ,Specific
13,,30313894,Sr Officer I Digital Operation, Q  41003494 ,2,,, Standardization Management System ,Specific
1,,30313890,Sr Officer II Digitalization Project, Q  41003926 ,2,,, HSSE General , Mandatory 
2,,30313890,Sr Officer II Digitalization Project, Q  41003953 ,2,,, Risk Fundamental , Mandatory 
3,,30313890,Sr Officer II Digitalization Project, Q  41003819 ,2,,, Marketing Strategy and Planning ,General
4,,30313890,Sr Officer II Digitalization Project, Q  41003825 ,2,,, Customer Relation Management ,General
5,,30313890,Sr Officer II Digitalization Project, Q  41003829 ,2,,, Sales Strategy and Planning ,General
6,,30313890,Sr Officer II Digitalization Project, Q  41003824 ,3,,, Channel Management ,Specific
7,,30313890,Sr Officer II Digitalization Project, Q  41003695 ,3,,, Data Analytics ,Specific
8,,30313890,Sr Officer II Digitalization Project, Q  41003448 ,2,,, Stakeholder Management ,Specific
9,,30313890,Sr Officer II Digitalization Project, Q  41003667 ,3,,, Data Engineering ,Specific
